Smell,# detections,proportion
DL3008,15078,0.26317810514557005
DL3018,5206,0.09086783495077846
DL9011,5082,0.08870348390700272
DL3009,5082,0.08870348390700272
DL3015,4993,0.08715003839977659
DL3059,4919,0.0858584095510717
DL9005,2367,0.04131466871465475
DL3042,2141,0.03736996439293444
DL9008,2018,0.035223067793060114
DL3013,1536,0.026810025832576974
DL9012,896,0.015639181735669902
DL9001,864,0.015080639530824547
DL3019,862,0.015045730643021712
DL3033,843,0.014714096208894785
DL3016,727,0.012689380716330377
DL9004,686,0.011973748516372269
DL3032,649,0.011327934092019829
DL9009,617,0.010769391887174474
DL9002,589,0.010280667457934791
DL9006,437,0.007627591984919361
DL9020,370,0.006458144243524401
DL3014,345,0.0060217831459889685
DL9000,315,0.00549814982894645
DL3060,184,0.0032116176778607835
DL9018,152,0.0026530754730154297
DL3041,65,0.0011345388535921245
DL9014,61,0.0010647210779864554
DL9010,47,0.0008203588633666131
DL9003,42,0.0007330866438595267
DL9015,33,0.0005759966487467709
DL3030,29,0.0005061788731411018
DL3010,14,0.0002443622146198422
DL9013,10,0.000174544439014173
DL3040,10,0.000174544439014173
DL9016,9,0.00015708999511275572
DL9017,6,0.0001047266634085038
DL3037,3,5.23633317042519e-05
DL9007,3,5.23633317042519e-05
DL9019,2,3.4908887802834604e-05
